Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
1.509893333,-0.007938555,8.020231023,0.059246328,8.020453779
1.519914333,0.017606551,8.577590543,0.126290503,8.578538267
1.529936333,0.29837543,9.081844481,0.062669873,9.08696069
1.539957333,0.260696867,9.411536812,0.118945815,9.415898052
1.549979333,-0.056152169,9.692442314,0.095588527,9.693076304
1.560000333,-0.142284958,9.795219408,0.138548021,9.797232457
1.570022333,0.152475641,9.671273054,0.080912601,9.672813353
1.580043333,0.093045043,9.451679701,0.119391373,9.452891666
1.590065333,0.115553041,9.272276015,0.082277341,9.273361018
1.600086333,0.053691966,8.924153261,0.055181344,8.924485376
1.610108333,0.012091946,8.45875524,0.113276355,8.459522325
1.620129333,0.042943436,7.895173699,0.106695898,7.896011391
1.630151333,-0.037507015,7.217603611,0.155948165,7.219385604
1.640172333,-0.085071287,6.426864758,0.131693915,6.428776791
1.650194333,0.053736844,5.607114944,0.11806464,5.60861524
1.660215333,0.091044272,4.681888669,0.096643365,4.683770971
1.670237333,0.129451242,3.671395372,0.135987525,3.676192896
1.680258333,0.20867757,2.707909011,0.004988844,2.715942273
1.690280333,0.318559963,1.592984588,0.036725777,1.624939732
1.700301333,0.329523566,0.524229598,-0.087798282,0.625388671
1.710323333,0.193691942,-0.54192393,-0.020121439,0.575849795
1.720344333,-0.305500061,-1.592974063,-0.048991481,1.622743608
1.730366333,-0.468918592,-2.643579699,0.111190068,2.687147465
1.740387333,-0.42895386,-3.65299243,0.026598984,3.678187409
1.750409333,-0.12136574,-4.736136797,0.052025601,4.737977213
1.760430333,0.151281283,-5.493700595,0.075515036,5.496301919
1.770452333,0.146893404,-6.338091161,-0.110853269,6.340762232
1.780473333,0.186002872,-7.145338458,-0.117606218,7.148726458
1.790495333,0.247330352,-7.820384887,-0.090649969,7.824820094
1.800516333,-0.014199438,-8.410143828,-0.049921773,8.410303979
1.810538333,-0.356564124,-9.062049317,-0.039140092,9.069145921
1.820560333,-0.257890825,-9.30583494,-0.043629584,9.309509931
1.830581333,-0.22577397,-9.468331987,-0.064736279,9.471244653
1.840603333,-0.173801286,-9.601632131,-0.107701035,9.603808931
1.850624333,-0.033087,-9.420639757,-0.073728127,9.420986361
1.860646333,-0.010464588,-9.223922465,-0.048730695,9.224057125
1.870667333,-0.101416429,-9.038624786,-0.074930314,9.039504293
1.880689333,-0.064618814,-8.597671051,-0.021497873,8.597940756
1.890710333,-0.046385199,-8.182552069,-0.041993533,8.182791297
1.900732333,-0.055886024,-7.636344359,-0.074474232,7.636911995
